title,url,category,imageUrl,content,author,tags,hasVideo
"Люди, зачатые в холодное время года, устойчивее к холоду Это не цитата академика Лысенко, а вывод новой работы японских генетиков. Не противоречит ли он науке? И применим ли в планировании семьи?","https://meduza.io/feature/2025/04/19/lyudi-zachatye-v-holodnoe-vremya-goda-ustoychivee-k-holodu","Новости","","","Meduza.io","",""
"Певца Шарлота, приговоренного к пяти с половиной годам лишения свободы, исключили из реестра террористов и экстремистов","https://meduza.io/news/2025/04/19/pevtsa-sharlota-prigovorennogo-k-pyati-s-polovinoy-godam-lisheniya-svobody-isklyuchili-iz-reestra-terroristov-i-ekstremistov","Новости","","","Meduza.io","",""
"В Краснодаре военнослужащие, которых задержали за оставление части, сломали забор и сбежали из комендатуры По словам родственников, военным месяцами приходится жить в палатках на открытом воздухе","https://meduza.io/feature/2025/04/19/v-krasnodare-voennosluzhaschie-kotoryh-zaderzhali-za-ostavlenie-chasti-slomali-zabor-i-sbezhali-iz-komendatury","Новости","","","Meduza.io","",""
"Абхазия полностью осталась без электричества","https://meduza.io/news/2025/04/19/abhaziya-polnostyu-ostalas-bez-elektrichestva","Новости","","","Meduza.io","",""
"Все пляжи Анапы объявлены непригодными для купания из-за разлива мазута","https://meduza.io/news/2025/04/19/vse-plyazhi-anapy-ob-yavleny-neprigodnymi-dlya-kupaniya-iz-za-razliva-mazuta","Новости","","","Meduza.io","",""
"Электрозавод в Москве перестраивают: теперь на его территории будет еще один современный кластер Вспоминаем историю места: от создания вольфрамовой нити до концертов группы «Кино»","https://meduza.io/feature/2025/04/19/elektrozavod-v-moskve-perestraivayut-teper-na-ego-teritorii-budet-esche-odin-sovremennyy-klaster","Новости","","","Meduza.io","",""
"Axios: Трамп несколько дней назад допустил возможность выхода из переговоров по Украине","https://meduza.io/news/2025/04/19/axios-tramp-neskolko-dney-nazad-dopustil-vozmozhnost-vyhoda-iz-peregovorov-po-ukraine","Новости","","","Meduza.io","",""
"«Трудно сделать выбор, когда знаешь и любишь кино так, как люблю его я» Мы попросили кинопродюсера и автора книги «Нелюбовь» Александра Роднянского рассказать о пяти самых важных для него фильмах","https://meduza.io/feature/2025/04/19/trudno-sdelat-vybor-kogda-znaesh-i-lyubish-kino-tak-kak-lyublyu-ego-ya","Новости","","","Meduza.io","",""
"Bloomberg: США рассматривают возможность признать контроль России над Крымом","https://meduza.io/news/2025/04/19/bloomberg-ssha-rassmatrivayut-vozmozhnost-priznat-kontrol-rossii-nad-krymom","Новости","","","Meduza.io","",""
"«Нет определенного количества дней, но мы хотим сделать это быстро». Трамп — о том, как долго США еще будут пытаться достичь мира между Россией и Украиной","https://meduza.io/news/2025/04/18/net-opredelennogo-kolichestva-dney-no-my-hotim-sdelat-eto-bystro-tramp-o-tom-kak-dolgo-ssha-esche-budut-pytatsya-dostich-mira-mezhdu-rossiey-i-ukrainoy","Новости","","","Meduza.io","",""
